    System Name            MAP         MRR
--  -------------  -----------  ----------
 0  TFIDF          0.0995888    0.361295
 1  BM25           0.186123     0.517947
 2  QLM            0.00112936   0.0174556
 3  Lucene         0.234943     0.57272
 4  QueryTimeStem  0.209862     0.529172
 5  PseudoRel      0.14578      0.497979
 6  StpdInd_BM25   0.210901     0.538111
 7  StpdInd_TFIDF  0.103636     0.379532
 8  StemInd_BM25   0            0
 9  StemInd_TFIDF  0            0
10  QEWS           0.204597     0.522746
11  KL_Div         0.000457313  0.00702265
